ec5_uuid,created_at,uploaded_at,title,1_What_is_the_date,2_What_is_the_plot_n,3_What_is_the_subplo,4_What_is_the_specie,5_What_is_the_percen
4824346a-6bd3-432d-88e8-0a5ddc84cb1d,2022-09-17T15:24:14.545Z,2022-09-17T19:52:54.000Z,"12 SW Litter",17/09/2022,12,SW,Litter,55
54a6a4ef-bc31-41fc-ab3a-216e1ca39270,2022-09-17T15:23:35.367Z,2022-09-17T19:52:50.000Z,"12 SW Chamaesyce",17/09/2022,12,SW,Chamaesyce,1
e68f9676-4cd5-4f0f-bd35-0c19551ee78a,2022-09-17T15:21:57.450Z,2022-09-17T19:52:22.000Z,"12 SW AmPs",17/09/2022,12,SW,AmPs,1
1e6669d0-2c43-4b5e-aee6-a86372d63504,2022-09-17T15:20:42.324Z,2022-09-17T19:52:20.000Z,"12 SW BoGr",17/09/2022,12,SW,BoGr,10
129e3c8e-1874-4cf8-ad56-7e8614660706,2022-09-17T15:20:17.297Z,2022-09-17T19:52:18.000Z,"12 SW SaTr",17/09/2022,12,SW,SaTr,25
7fe56e55-2291-4389-aa09-3ca42b941588,2022-09-17T15:19:49.871Z,2022-09-17T19:52:16.000Z,"12 SW ChIn",17/09/2022,12,SW,ChIn,17
1e8fd96a-b083-4929-8085-ad833374dbe1,2022-09-17T15:15:23.021Z,2022-09-17T19:52:14.000Z,"13 NW Litter",17/09/2022,13,NW,Litter,65
6db4c960-9c01-4cf7-8537-12fa1f2eab60,2022-09-17T15:14:49.962Z,2022-09-17T19:52:12.000Z,"13 NW BoGr",17/09/2022,13,NW,BoGr,3
2e185b43-0e90-43e4-bdf8-655ef62e6193,2022-09-17T15:14:19.892Z,2022-09-17T19:52:10.000Z,"13 NW SoEl",17/09/2022,13,NW,SoEl,6
dad84823-43a1-4156-9e5e-b69148c95169,2022-09-17T15:13:57.496Z,2022-09-17T19:52:08.000Z,"13 NW SaTr",17/09/2022,13,NW,SaTr,6
131979d4-5b4c-44ff-8dee-3442aa800d5d,2022-09-17T15:13:25.730Z,2022-09-17T19:52:06.000Z,"13 NW ChIn",17/09/2022,13,NW,ChIn,40
21cb654a-6ffc-4416-a905-178b5616a29e,2022-09-17T15:10:58.741Z,2022-09-17T19:52:04.000Z,"14 NE Bare",17/09/2022,14,NE,Bare,3
3f1bc419-855c-43fa-92f1-fcbb7e8f66aa,2022-09-17T15:10:38.139Z,2022-09-17T19:52:02.000Z,"14 NE Litter",17/09/2022,14,NE,Litter,65
18f84fa9-dd62-4f25-a21b-e7d3f01c6369,2022-09-17T15:10:08.835Z,2022-09-17T19:52:00.000Z,"14 NE GlPu",17/09/2022,14,NE,GlPu,1
1167d02c-05b9-4275-8e85-ce507bade60d,2022-09-17T15:09:43.320Z,2022-09-17T19:51:58.000Z,"14 NE BoGr",17/09/2022,14,NE,BoGr,3
0c511d80-f907-4bcb-98e4-9e2c08aa1cbd,2022-09-17T15:08:36.419Z,2022-09-17T19:51:56.000Z,"14 NE SoEl",17/09/2022,14,NE,SoEl,1
f21a5715-f000-43c4-a1d2-23d4e294b148,2022-09-17T15:08:09.738Z,2022-09-17T19:51:54.000Z,"14 NE SaTr",17/09/2022,14,NE,SaTr,9
14249bf1-f6e2-4091-8ae8-e2b8745c32d2,2022-09-17T15:07:45.796Z,2022-09-17T19:51:52.000Z,"14 NE ChIn",17/09/2022,14,NE,ChIn,25
b7182e1b-3cb1-42ba-8b0c-100215263fa2,2022-09-17T14:53:07.993Z,2022-09-17T19:51:51.000Z,"5 NW Bare",17/09/2022,5,NW,Bare,5
81442047-5f64-40f0-8a02-ff631b460572,2022-09-17T14:52:42.830Z,2022-09-17T19:51:48.000Z,"5 NW Litter",17/09/2022,5,NW,Litter,60
1b2a1fd7-392a-459d-97b8-ed94d6039733,2022-09-17T14:51:54.798Z,2022-09-17T19:51:46.000Z,"5 NW BoGr",17/09/2022,5,NW,BoGr,4
1433b71a-1be4-410a-a7bf-e3260240c0ce,2022-09-17T14:51:26.565Z,2022-09-17T19:51:45.000Z,"5 NW SoEl",17/09/2022,5,NW,SoEl,1
